info @storybook/react v6.4.18
info 
info => Cleaning outputDir: /var/folders/gl/9nygrvg17fx8kdsrj91q90_00000gn/T/chromatic--26923-uQdMXOI1505P
info => Loading presets
info => Copying static files: /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/public at /var/folders/gl/9nygrvg17fx8kdsrj91q90_00000gn/T/chromatic--26923-uQdMXOI1505P/
info => Compiling manager..
info => Compiling preview..
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack4 setup
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/polyfills.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/globals.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/storybook-init-framework-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/common/config.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/react/dist/esm/client/preview/config-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-links/dist/esm/preset/addDecorator.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addDecorator.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addArgs.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addDecorator.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addParameter.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-measure/dist/esm/preset/addDecorator.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-outline/dist/esm/preset/addDecorator.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-interactions/dist/esm/preset/argsEnhancers.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/.storybook/preview.js-generated-config-entry.js /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 11% building 11/17 modules 6 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 12/17 modules 5 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 13/17 modules 4 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 14/17 modules 3 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 15/17 modules 2 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 11% building 16/17 modules 1 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 11% building 16/18 modules 2 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-links/dist/esm/preset/addDecorator.js
<s> [webpack.Progress] 11% building 16/19 modules 3 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addDecorator.js
<s> [webpack.Progress] 11% building 16/20 modules 4 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addArgs.js
<s> [webpack.Progress] 11% building 16/21 modules 5 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-measure/dist/esm/preset/addDecorator.js
<s> [webpack.Progress] 11% building 16/22 modules 6 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addDecorator.js
<s> [webpack.Progress] 11% building 16/23 modules 7 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addParameter.js
<s> [webpack.Progress] 11% building 16/24 modules 8 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-outline/dist/esm/preset/addDecorator.js
<s> [webpack.Progress] 11% building 16/25 modules 9 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-interactions/dist/esm/preset/argsEnhancers.js
<s> [webpack.Progress] 11% building 16/26 modules 10 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/common/config.js
<s> [webpack.Progress] 11% building 16/27 modules 11 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js
<s> [webpack.Progress] 11% building 16/28 modules 12 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/polyfills.js
<s> [webpack.Progress] 11% building 16/29 modules 13 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/globals.js
<s> [webpack.Progress] 12% building 17/29 modules 12 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/globals.js
<s> [webpack.Progress] 12% building 17/30 modules 13 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/.storybook/preview.js
<s> [webpack.Progress] 12% building 17/31 modules 14 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/InboxScreen.stories.js
<s> [webpack.Progress] 12% building 17/32 modules 15 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/Task.stories.js
<s> [webpack.Progress] 12% building 17/33 modules 16 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 12% building 18/33 modules 15 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 12% building 19/33 modules 14 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 12% building 20/33 modules 13 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 12% building 21/33 modules 12 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 12% building 22/33 modules 11 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 12% building 23/33 modules 10 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 12% building 24/33 modules 9 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 13% building 25/33 modules 8 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 13% building 26/33 modules 7 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 13% building 27/33 modules 6 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 13% building 28/33 modules 5 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 13% building 29/33 modules 4 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 13% building 29/34 modules 5 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/react/dist/esm/client/preview/config.js
<s> [webpack.Progress] 13% building 30/34 modules 4 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/react/dist/esm/client/preview/config.js
<s> [webpack.Progress] 13% building 30/35 modules 5 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 13% building 31/35 modules 4 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 13% building 32/35 modules 3 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 13% building 33/35 modules 2 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 14% building 34/35 modules 1 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 14% building 35/35 modules 0 active 
<s> [webpack.Progress] 14% building 35/36 modules 1 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-links/dist/esm/index.js
<s> [webpack.Progress] 14% building 35/37 modules 2 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-measure/dist/esm/withMeasure.js
<s> [webpack.Progress] 14% building 35/38 modules 3 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-actions/dist/esm/index.js
<s> [webpack.Progress] 14% building 35/39 modules 4 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-measure/dist/esm/constants.js
<s> [webpack.Progress] 14% building 35/40 modules 5 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addArgsHelpers.js
<s> [webpack.Progress] 14% building 35/41 modules 6 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-outline/dist/esm/constants.js
<s> [webpack.Progress] 14% building 35/42 modules 7 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-outline/dist/esm/withOutline.js
<s> [webpack.Progress] 14% building 35/43 modules 8 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/extractArgTypes.js
<s> [webpack.Progress] 14% building 35/44 modules 9 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/jsxDecorator.js
<s> [webpack.Progress] 14% building 35/45 modules 10 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/common/enhanceArgTypes.js
<s> [webpack.Progress] 14% building 35/46 modules 11 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 36/46 modules 10 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 37/46 modules 9 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 38/46 modules 8 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 39/46 modules 7 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 40/46 modules 6 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 41/46 modules 5 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 15% building 42/46 modules 4 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 15% building 43/46 modules 3 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 15% building 44/46 modules 2 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 15% building 45/46 modules 1 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 15% building 45/47 modules 2 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/mini-css-extract-plugin/dist/loader.js??ref--9-oneOf-4-0!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/css-loader/dist/cjs.js??ref--9-oneOf-4-1!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/postcss-loader/src/index.js??postcss!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/index.css
<s> [webpack.Progress] 15% building 46/47 modules 1 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/mini-css-extract-plugin/dist/loader.js??ref--9-oneOf-4-0!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/css-loader/dist/cjs.js??ref--9-oneOf-4-1!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/postcss-loader/src/index.js??postcss!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/index.css
<s> [webpack.Progress] 15% building 46/48 modules 2 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/InboxScreen.js
<s> [webpack.Progress] 15% building 46/49 modules 3 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/Task.js
<s> [webpack.Progress] 15% building 46/50 modules 4 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/src/components/TaskList.js
<s> [webpack.Progress] 15% building 46/51 modules 5 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/core-js/modules/es.array.slice.js
<s> [webpack.Progress] 15% building 46/52 modules 6 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/core-js/modules/es.object.freeze.js
<s> [webpack.Progress] 15% building 46/53 modules 7 active /Users/grejule/Documents/GitHub-home/Storybook_test/taskbox/node_modules/@storybook/react/dist/esm/client/preview/render.js
Browserslist: caniuse-lite is outdated. Please run:
npx browserslist@latest --update-db

Why you should do it regularly:
https://github.com/browserslist/browserslist#browsers-data-updating
